name,year,rating,metacritic
Counter-Strike,2000,4.05,88.0
Deus Ex: Game of the Year Edition,2000,4.12,90.0
Jet Set Radio,2000,3.41,94.0
Hitman: Codename 47,2000,3.83,73.0
Thief II: The Metal Age,2000,4.12,87.0
Final Fantasy IX,2000,4.35,84.0
Diablo II,2000,4.39,88.0
Unreal Tournament: Game of the Year Edition,2000,4.32,92.0
Carmageddon TDR 2000,2000,3.28,48.0
Soulbringer,2000,2.53,70.0
The Legend of Zelda: Majora's Mask,2000,4.34,95.0
Perfect Dark,2000,3.97,97.0
Deus Ex,2000,4.36,90.0
Earth 2150 Trilogy,2000,2.65,78.0
Rune,2000,3.98,76.0
Crime Cities,2000,2.5,71.0
The Sims,2000,4.21,88.0
Spider-Man (2000),2000,4.29,87.0
Command & Conquer: Red Alert 2,2000,4.36,84.0
Banjo-Tooie,2000,4.04,90.0
Tony Hawk's Pro Skater 2,2000,4.35,91.0
Summoner,2000,3.19,78.0
Vampire: The Masquerade - Redemption,2000,3.91,74.0
Cossacks: European Wars,2000,4.22,74.0
American McGee's Alice,2000,4.39,85.0
Need for Speed: Porsche Unleashed,2000,4.25,78.0
Giants: Citizen Kabuto,2000,3.34,85.0
Spyro: Year of the Dragon,2000,4.39,91.0
MDK 2,2000,3.94,83.0
Paper Mario (2000),2000,4.39,93.0
Baldur's Gate II: Shadows of Amn,2000,4.28,95.0
Sacrifice,2000,4.07,89.0
Dark Cloud,2000,3.93,80.0
Dino Crisis 2,2000,4.22,86.0
The Operative: No One Lives Forever,2000,4.22,79.0
Resident Evil Code: Veronica,2000,4.21,94.0
Indiana Jones and the Infernal Machine,2000,3.78,75.0
Vagrant Story (2000),2000,4.29,92.0
Delta Force: Land Warrior,2000,3.46,74.0
Sea Dogs,2000,4.28,71.0
Driver 2,2000,4.08,62.0
Crash Bash,2000,4.03,68.0
Persona 2: Eternal Punishment,2000,4.3,83.0
Medal of Honor: Underground,2000,4.17,86.0
SimCity 3000 Unlimited,2000,3.85,77.0
Project I.G.I.: I’m Going In,2000,3.99,70.0
Ground Control Anthology,2000,3.57,86.0
Submarine Titans,2000,3.74,69.0
Icewind Dale,2000,4.15,87.0
Mario Party 3,2000,4.08,74.0
Jagged Alliance 2: Unfinished Business,2000,4.22,64.0
Skies of Arcadia,2000,4.22,93.0
Mario Tennis (2000),2000,4.01,91.0
Breath of Fire IV (2000),2000,4.31,83.0
Grandia II,2000,4.35,77.0
007: The World is not Enough,2000,3.69,81.0
Heavy Metal: F.A.K.K.2,2000,3.84,78.0
B-17 Flying Fortress: The Mighty 8th,2000,2.86,82.0
Metal Fatigue,2000,4.14,68.0
Bugs Bunny & Taz: Time Busters,2000,3.94,72.0
Tenchu 2: Birth of the Stealth Assassins,2000,4.37,77.0
Star Trek: Voyager - Elite Force,2000,3.76,69.0
Disney's Aladdin in Nasira's Revenge,2000,3.53,61.0
Shogun: Total War,2000,4.03,84.0
102 Dalmatians: Puppies to the Rescue,2000,3.98,66.0
The Sims: Livin' Large,2000,3.92,82.0
TimeSplitters,2000,3.56,81.0
The Mummy,2000,3.46,46.0
Call to Power II,2000,3.5,72.0
Rayman: Revolution,2000,3.93,90.0
Disney's The Emperor's New Groove,2000,3.94,66.0
Warlords Battlecry,2000,3.67,82.0
Tales of Eternia,2000,4.17,78.0
Digimon World 2,2000,3.74,42.0
Gunman Chronicles,2000,4.33,65.0
Blade (2000),2000,3.64,51.0
Cleopatra,2000,4.4,77.0
Road Rash: Jailbreak,2000,4.0,78.0
Power Stone 2,2000,4.38,87.0
Batman Beyond: Return of the Joker,2000,3.43,24.0
Midnight Club: Street Racing,2000,3.14,78.0
Duke Nukem: Land of the Babes,2000,3.9,37.0
Dracula: Resurrection,2000,3.44,67.0
KISS Psycho Circus: The Nightmare Child,2000,4.38,71.0
Crimson Skies,2000,4.27,83.0
Homeworld: Cataclysm,2000,4.2,89.0
The Grinch,2000,3.93,55.0
Buzz Lightyear of Star Command,2000,3.91,55.0
Ground Control,2000,4.0,86.0
Disney's 102 Dalmatians: Puppies to the Rescue,2000,4.0,66.0
Fur Fighters,2000,3.71,64.0
Starlancer,2000,4.71,78.0
Metropolis Street Racer,2000,4.18,87.0
Star Wars Episode I: Battle for Naboo,2000,4.0,54.0
Grand Prix 3,2000,4.14,87.0
WWF No Mercy,2000,4.12,89.0
Armored Core 2,2000,3.67,78.0
18 Wheeler: American Pro Trucker,2000,3.62,56.0
Airfix Dogfighter,2000,4.33,75.0
Grand Theft Auto III,2001,4.15,93.0
Half-Life: Blue Shift,2001,3.72,71.0
Max Payne,2001,4.46,89.0
Sid Meier's Civilization III Complete,2001,3.7,90.0
Serious Sam: The First Encounter,2001,4.03,87.0
Fallout Tactics: Brotherhood of Steel,2001,3.37,82.0
Gothic,2001,4.35,81.0
Sonic Adventure 2,2001,3.95,89.0
Uplink,2001,3.32,75.0
Return to Castle Wolfenstein,2001,4.23,88.0
Commandos 2: Men of Courage,2001,4.23,87.0
Red Faction,2001,3.89,78.0
Legacy of Kain: Soul Reaver 2,2001,3.92,77.0
STAR WARS Starfighter,2001,2.89,71.0
Silent Hill 2 (2001),2001,4.39,89.0
X-COM: Enforcer,2001,2.31,65.0
Anachronox,2001,3.33,77.0
ICO,2001,4.34,90.0
Jak and Daxter: The Precursor Legacy,2001,4.01,90.0
Arcanum: Of Steamworks and Magick Obscura,2001,4.35,81.0
Hostile Waters: Antaeus Rising,2001,2.15,80.0
Metal Gear Solid 2: Sons of Liberty,2001,4.34,96.0
Louvre: The Final Curse,2001,3.05,61.0
Devil May Cry,2001,4.05,84.0
Harry Potter and the Sorcerer's Stone,2001,3.98,60.0
Desperados: Wanted Dead or Alive,2001,4.21,78.0
Halo: Combat Evolved,2001,4.32,90.0
